,fips,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
fips,1.0,-0.017018143413499914,-0.035961057457628606,-0.055620902804718715,-0.04797677218091984,-0.050257180232688395,-0.05045020505916389,-0.049106587596717904,-0.0468778463790111,-0.01783518109589502,-0.04396819321134343,0.04669938388440176,0.04053083912795371,0.03736250580165073,0.028612716119525438,0.05145259718133964,0.05240176211584875,0.03823142775661239,0.031168912891565606,-0.02978756860723103
PRECTOT,-0.017018143413499914,1.0,0.06877522795687095,0.24508107259712042,0.0932579178913961,0.2310345063271157,0.2309746062971476,0.02677308945683436,0.144929087881156,-0.30417068623699217,0.08959849993036224,0.04973012736300352,0.06098106620661361,0.023346334108820706,0.0657548980011836,0.06905666124411364,0.07950786218600912,0.057816301814137445,0.04747663653912212,-0.06319418133326442
PS,-0.035961057457628606,0.06877522795687095,1.0,0.28241155515899485,0.16415966903326612,0.34123386774299536,0.3412520009545152,0.11197868070194966,0.20828546968581613,-0.22593451723749652,0.1638300602315858,-0.08074737654436544,-0.13590497588432487,0.022931663608379862,-0.1983319514983119,-0.043315280848986705,-0.0918210526621694,0.03623803689484527,-0.15447858722862232,-0.1825625488766385
QV2M,-0.055620902804718715,0.24508107259712042,0.28241155515899485,1.0,0.870242084230847,0.9593852221153198,0.9604343268992332,0.8043378026738758,0.9061440366985385,-0.07154711997064173,0.8625593788565982,-0.22544913182125798,-0.2564523922991085,-0.10878896912615042,-0.2692033798250679,-0.20597070802463205,-0.24996119008893658,-0.0815536558208647,-0.24620274265839517,-0.04906051766111594
T2M,-0.04797677218091984,0.0932579178913961,0.16415966903326612,0.870242084230847,1.0,0.91352973848083,0.9142175645301353,0.9833561075919167,0.9816289285035263,0.24435717426413,0.9975148138291403,-0.20787449220868157,-0.2201919051671355,-0.12540722769378285,-0.20903002381015004,-0.19319577835436796,-0.20644413482696555,-0.11257916947334917,-0.15958937371180407,0.08762310108897167
T2MDEW,-0.050257180232688395,0.2310345063271157,0.34123386774299536,0.9593852221153198,0.91352973848083,1.0,0.9999700682997253,0.8547155720835137,0.9399338289378824,-0.01564268255193935,0.9051842497539824,-0.23829904840883104,-0.2686859554492833,-0.11591971324327797,-0.28070245016439727,-0.20423779764642175,-0.24532264476191837,-0.08241616057444837,-0.23933475503216714,-0.0557802355576052
T2MWET,-0.05045020505916389,0.2309746062971476,0.3412520009545152,0.9604343268992332,0.9142175645301353,0.9999700682997253,1.0,0.8554012231066261,0.9406288439156631,-0.015500092009684923,0.9059110193964034,-0.23797101333364343,-0.26829157056148034,-0.11588165545128612,-0.28019918088889445,-0.20414295206329003,-0.24514739563559376,-0.08249652669569466,-0.23902907866076176,-0.05506347965111487
T2M_MAX,-0.049106587596717904,0.02677308945683436,0.11197868070194966,0.8043378026738758,0.9833561075919167,0.8547155720835137,0.8554012231066261,1.0,0.9377615385143946,0.40753363251435215,0.9801012527098381,-0.21676412491833855,-0.2216713764628059,-0.14191093702684396,-0.19961448404623702,-0.1957266074413979,-0.19623589565575908,-0.13323432662544918,-0.12633062299126727,0.12486585722444303
T2M_MIN,-0.0468778463790111,0.144929087881156,0.20828546968581613,0.9061440366985385,0.9816289285035263,0.9399338289378824,0.9406288439156631,0.9377615385143946,1.0,0.06503709904235154,0.9791344696106743,-0.2063822976787721,-0.2258291063606399,-0.11287817201500593,-0.22525620886741704,-0.19799090701938432,-0.22574421764405114,-0.09659252502633017,-0.200156535118885,0.05708204375736586
T2M_RANGE,-0.01783518109589502,-0.30417068623699217,-0.22593451723749652,-0.07154711997064173,0.24435717426413,-0.01564268255193935,-0.015500092009684923,0.40753363251435215,0.06503709904235154,1.0,0.24156385212971637,-0.08016273526923628,-0.043126683126296424,-0.11095179384450311,0.018745943753169056,-0.041778279416009756,0.02973714477209765,-0.1288436731324731,0.16332049530857595,0.20869336653190892
TS,-0.04396819321134343,0.08959849993036224,0.1638300602315858,0.8625593788565982,0.9975148138291403,0.9051842497539824,0.9059110193964034,0.9801012527098381,0.9791344696106743,0.24156385212971637,1.0,-0.18982298251237104,-0.20271251439707538,-0.11027261663948529,-0.19601491550409558,-0.1806650500398443,-0.19334660830202058,-0.10236695502613115,-0.15243427816681687,0.09509598933190248
WS10M,0.04669938388440176,0.04973012736300352,-0.08074737654436544,-0.22544913182125798,-0.20787449220868157,-0.23829904840883104,-0.23797101333364343,-0.21676412491833855,-0.2063822976787721,-0.08016273526923628,-0.18982298251237104,1.0,0.9522170220553011,0.8333398948156001,0.702896168295097,0.9662745585150007,0.9087500034503363,0.7954235775965407,0.41241216931187097,0.02109637499790773
WS10M_MAX,0.04053083912795371,0.06098106620661361,-0.13590497588432487,-0.2564523922991085,-0.2201919051671355,-0.2686859554492833,-0.26829157056148034,-0.2216713764628059,-0.2258291063606399,-0.043126683126296424,-0.20271251439707538,0.9522170220553011,1.0,0.6900870054749971,0.8660256436270496,0.910717165912579,0.9467100402569268,0.6604280193302656,0.5923798294009605,0.040498526832284866
WS10M_MIN,0.03736250580165073,0.023346334108820706,0.022931663608379862,-0.10878896912615042,-0.12540722769378285,-0.11591971324327797,-0.11588165545128612,-0.14191093702684396,-0.11287817201500593,-0.11095179384450311,-0.11027261663948529,0.8333398948156001,0.6900870054749971,1.0,0.2357749195103731,0.8391869797736193,0.666628795941767,0.9439832263004102,-0.04620855341194489,-0.013989497169923936
WS10M_RANGE,0.028612716119525438,0.0657548980011836,-0.1983319514983119,-0.2692033798250679,-0.20903002381015004,-0.28070245016439727,-0.28019918088889445,-0.19961448404623702,-0.22525620886741704,0.018745943753169056,-0.19601491550409558,0.702896168295097,0.8660256436270496,0.2357749195103731,1.0,0.6431308441203699,0.810676714693416,0.23464534026646672,0.8273639945226318,0.06404303251624235
WS50M,0.05145259718133964,0.06905666124411364,-0.043315280848986705,-0.20597070802463205,-0.19319577835436796,-0.20423779764642175,-0.20414295206329003,-0.1957266074413979,-0.19799090701938432,-0.041778279416009756,-0.1806650500398443,0.9662745585150007,0.910717165912579,0.8391869797736193,0.6431308441203699,1.0,0.9178831126426816,0.847884804520347,0.37353914385428955,-0.002070493845563556
WS50M_MAX,0.05240176211584875,0.07950786218600912,-0.0918210526621694,-0.24996119008893658,-0.20644413482696555,-0.24532264476191837,-0.24514739563559376,-0.19623589565575908,-0.22574421764405114,0.02973714477209765,-0.19334660830202058,0.9087500034503363,0.9467100402569268,0.666628795941767,0.810676714693416,0.9178831126426816,1.0,0.6467256161757332,0.674943886725099,0.017246170893193413
WS50M_MIN,0.03823142775661239,0.057816301814137445,0.03623803689484527,-0.0815536558208647,-0.11257916947334917,-0.08241616057444837,-0.08249652669569466,-0.13323432662544918,-0.09659252502633017,-0.1288436731324731,-0.10236695502613115,0.7954235775965407,0.6604280193302656,0.9439832263004102,0.23464534026646672,0.847884804520347,0.6467256161757332,1.0,-0.12628329369103802,-0.0303078433469307
WS50M_RANGE,0.031168912891565606,0.04747663653912212,-0.15447858722862232,-0.24620274265839517,-0.15958937371180407,-0.23933475503216714,-0.23902907866076176,-0.12633062299126727,-0.200156535118885,0.16332049530857595,-0.15243427816681687,0.41241216931187097,0.5923798294009605,-0.04620855341194489,0.8273639945226318,0.37353914385428955,0.674943886725099,-0.12628329369103802,1.0,0.05174947064754098
score,-0.02978756860723103,-0.06319418133326442,-0.1825625488766385,-0.04906051766111594,0.08762310108897167,-0.0557802355576052,-0.05506347965111487,0.12486585722444303,0.05708204375736586,0.20869336653190892,0.09509598933190248,0.02109637499790773,0.040498526832284866,-0.013989497169923936,0.06404303251624235,-0.002070493845563556,0.017246170893193413,-0.0303078433469307,0.05174947064754098,1.0
